# **Serves:** journal TOOL-dDerivedDocket-11
# same-id worksheet · computed at b8a773375bf26c48004a06c303d2968963370bc3 · signed none · design-named none
id	spec	legacy	evidence	sha	low_overlap	overlap
DEPL-dCarriedReceipt-1	memory/builds/dCarriedReceipt/spec/2026-08-24-spec-DEPL-dCarriedReceipt-1.md	CLOSED	born-in-spec-commit	30ffcb28df7d1c6fcdb3695f96756c997d44d490	no	0.810
DEPL-dCarriedReceipt-2	memory/builds/dCarriedReceipt/spec/2026-08-24-spec-DEPL-dCarriedReceipt-2.md	CLOSED	born-in-spec-commit	30ffcb28df7d1c6fcdb3695f96756c997d44d490	no	0.625
DEPL-dCarriedReceipt-3	memory/builds/dCarriedReceipt/spec/2026-08-24-spec-DEPL-dCarriedReceipt-3.md	CLOSED	born-in-spec-commit	30ffcb28df7d1c6fcdb3695f96756c997d44d490	no	0.800
DEPL-dCarriedReceipt-4	memory/builds/dCarriedReceipt/spec/2026-08-24-spec-DEPL-dCarriedReceipt-4.md	CLOSED	specced-in-place	58b44acf201298521845d22ca1f0db73d57a5659	no	0.400
DEPL-dCarriedReceipt-5	memory/builds/dCarriedReceipt/spec/2026-08-24-spec-DEPL-dCarriedReceipt-5.md	CLOSED	specced-in-place	58b44acf201298521845d22ca1f0db73d57a5659	no	0.273
DEPL-dCarriedReceipt-6	memory/builds/dCarriedReceipt/spec/2026-08-24-spec-DEPL-dCarriedReceipt-6.md	CLOSED	specced-in-place	58b44acf201298521845d22ca1f0db73d57a5659	no	0.550
DEPL-dCarriedReceipt-7	memory/builds/dCarriedReceipt/spec/2026-08-24-spec-DEPL-dCarriedReceipt-7.md	CLOSED	specced-in-place	58b44acf201298521845d22ca1f0db73d57a5659	no	0.783
DEPL-dCarriedReceipt-8	memory/builds/dCarriedReceipt/spec/2026-08-24-spec-DEPL-dCarriedReceipt-8.md	CLOSED	specced-in-place	58b44acf201298521845d22ca1f0db73d57a5659	no	0.591
DEPL-dCarriedReceipt-9	memory/builds/dCarriedReceipt/spec/2026-08-24-spec-DEPL-dCarriedReceipt-9.md	CLOSED	specced-in-place	58b44acf201298521845d22ca1f0db73d57a5659	no	0.840
DEPL-dCarriedReceipt-10	memory/builds/dCarriedReceipt/spec/2026-08-24-spec-DEPL-dCarriedReceipt-10.md	CLOSED	specced-in-place	58b44acf201298521845d22ca1f0db73d57a5659	no	0.619
DEPL-dCarriedReceipt-11	memory/builds/dCarriedReceipt/spec/2026-08-24-spec-DEPL-dCarriedReceipt-11.md	CLOSED	specced-in-place	58b44acf201298521845d22ca1f0db73d57a5659	no	0.609
DEPL-dCarriedReceipt-12	memory/builds/dCarriedReceipt/spec/2026-08-24-spec-DEPL-dCarriedReceipt-12.md	CLOSED	born-in-spec-commit	30ffcb28df7d1c6fcdb3695f96756c997d44d490	no	0.500
DEPL-dCarriedReceipt-13	memory/builds/dCarriedReceipt/spec/2026-08-24-spec-DEPL-dCarriedReceipt-13.md	CLOSED	specced-in-place	58b44acf201298521845d22ca1f0db73d57a5659	no	0.571
DEPL-dCarriedReceipt-14	memory/builds/dCarriedReceipt/spec/2026-08-24-spec-DEPL-dCarriedReceipt-14.md	CLOSED	specced-in-place	58b44acf201298521845d22ca1f0db73d57a5659	no	0.440
DEPL-dCarriedReceipt-15	memory/builds/dCarriedReceipt/spec/2026-08-24-spec-DEPL-dCarriedReceipt-15.md	CLOSED	specced-in-place	58b44acf201298521845d22ca1f0db73d57a5659	no	0.591
DEPL-dGaugedVintage-1	memory/builds/dGaugedVintage/spec/2026-09-01-spec-DEPL-dGaugedVintage-1.md	CLOSED	none	-	no	0.643
DEPL-dGaugedVintage-2	memory/builds/dGaugedVintage/spec/2026-09-01-spec-DEPL-dGaugedVintage-2.md	CLOSED	none	-	no	0.476
DEPL-dGaugedVintage-3	memory/builds/dGaugedVintage/spec/2026-09-01-spec-DEPL-dGaugedVintage-3.md	CLOSED	none	-	no	0.652
DEPL-dGaugedVintage-4	memory/builds/dGaugedVintage/spec/2026-09-01-spec-DEPL-dGaugedVintage-4.md	CLOSED	none	-	no	0.478
DEPL-dGaugedVintage-5	memory/builds/dGaugedVintage/spec/2026-09-01-spec-DEPL-dGaugedVintage-5.md	CLOSED	none	-	no	0.696
DEPL-dGaugedVintage-6	memory/builds/dGaugedVintage/spec/2026-09-01-spec-DEPL-dGaugedVintage-6.md	CLOSED	none	-	no	0.917
DEPL-dGaugedVintage-7	memory/builds/dGaugedVintage/spec/2026-09-01-spec-DEPL-dGaugedVintage-7.md	CLOSED	none	-	no	0.680
DEPL-dGaugedVintage-8	memory/builds/dGaugedVintage/spec/2026-09-01-spec-DEPL-dGaugedVintage-8.md	CLOSED	none	-	no	0.417
DEPL-dGaugedVintage-9	memory/builds/dGaugedVintage/spec/2026-09-01-spec-DEPL-dGaugedVintage-9.md	CLOSED	none	-	no	0.500
DEPL-dGaugedVintage-10	memory/builds/dGaugedVintage/spec/2026-09-01-spec-DEPL-dGaugedVintage-10.md	CLOSED	none	-	no	0.773
DEPL-dGaugedVintage-11	memory/builds/dGaugedVintage/spec/2026-09-01-spec-DEPL-dGaugedVintage-11.md	CLOSED	none	-	no	0.731
DEPL-dGaugedVintage-12	memory/builds/dGaugedVintage/spec/2026-09-01-spec-DEPL-dGaugedVintage-12.md	CLOSED	none	-	no	0.478
DEPL-dGaugedVintage-13	memory/builds/dGaugedVintage/spec/2026-09-01-spec-DEPL-dGaugedVintage-13.md	CLOSED	none	-	no	0.391
PLAY-aCandidStub-1	memory/builds/aCandidStub/spec/2026-08-10-spec-aCandidStub-1.md	CLOSED	born-in-spec-commit	736cb29ede015de853a3143ff402b7b6a05a2435	no	0.304
PLAY-aDeclaredCeiling-1	memory/builds/aDeclaredCeiling/spec/2026-08-16-spec-PLAY-aDeclaredCeiling-1.md	CLOSED	born-in-spec-commit	8aa4a261051ed5d64dde73a0b805522025d6ab3c	no	0.250
PLAY-dClosedLexicon-1	memory/builds/dClosedLexicon/spec/2026-08-16-spec-PLAY-dClosedLexicon-1.md	BLOCKED	born-in-spec-commit	7678709ae434a396b48114a2ce9d9cc84596c8ce	no	0.545
TOOL-aBoundedVerdict-22	memory/builds/aBoundedVerdict/spec/2026-08-21-spec-TOOL-aBoundedVerdict-22.md	OPEN	none	-	yes	0.038
TOOL-aBranchedMandate-1	memory/builds/aBranchedMandate/spec/2026-08-16-spec-TOOL-aBranchedMandate-1.md	CLOSED	born-in-spec-commit	3e512f31e498c25ba19527faec7379c4c5fa6510	no	0.833
TOOL-aBranchedMandate-2	memory/builds/aBranchedMandate/spec/2026-08-16-spec-TOOL-aBranchedMandate-2.md	CLOSED	born-in-spec-commit	3e512f31e498c25ba19527faec7379c4c5fa6510	no	0.826
TOOL-aBranchedMandate-3	memory/builds/aBranchedMandate/spec/2026-08-16-spec-TOOL-aBranchedMandate-3.md	CLOSED	born-in-spec-commit	3e512f31e498c25ba19527faec7379c4c5fa6510	no	0.667
TOOL-aBranchedMandate-4	memory/builds/aBranchedMandate/spec/2026-08-17-spec-TOOL-aBranchedMandate-4.md	CLOSED	specced-in-place	6f8f9a8d86fe65c371e5feee805081d6f47449aa	no	0.542
TOOL-aBranchedMandate-12	memory/builds/aBranchedMandate/spec/2026-08-18-spec-TOOL-aBranchedMandate-12.md	CLOSED	born-in-spec-commit	e09217c738ac87dc616013ca6cf47ca4b26f6399	no	0.857
TOOL-aBranchedMandate-13	memory/builds/aBranchedMandate/spec/2026-08-18-spec-TOOL-aBranchedMandate-13.md	CLOSED	born-in-spec-commit	e09217c738ac87dc616013ca6cf47ca4b26f6399	no	0.857
TOOL-aCollapsedScan-4	memory/builds/aCollapsedScan/spec/2026-08-26-spec-TOOL-aCollapsedScan-4.md	CLOSED	none	-	no	0.206
TOOL-aCollapsedScan-6	memory/builds/aCollapsedScan/spec/2026-08-26-spec-TOOL-aCollapsedScan-6.md	WONTDO	none	-	no	0.123
TOOL-aCollapsedScan-7	memory/builds/aCollapsedScan/spec/2026-08-26-spec-TOOL-aCollapsedScan-7.md	CLOSED	none	-	no	0.211
TOOL-aCollapsedScan-13	memory/builds/aCollapsedScan/spec/2026-08-26-spec-TOOL-aCollapsedScan-13.md	CLOSED	none	-	yes	0.101
TOOL-aDeclaredCeiling-1	memory/builds/aDeclaredCeiling/spec/2026-08-16-spec-TOOL-aDeclaredCeiling-1.md	OPEN	born-in-spec-commit	8aa4a261051ed5d64dde73a0b805522025d6ab3c	no	0.346
TOOL-aDeclaredCeiling-2	memory/builds/aDeclaredCeiling/spec/2026-08-16-spec-TOOL-aDeclaredCeiling-2.md	OPEN	born-in-spec-commit	8aa4a261051ed5d64dde73a0b805522025d6ab3c	no	0.615
TOOL-aDeclaredCeiling-3	memory/builds/aDeclaredCeiling/spec/2026-08-16-spec-TOOL-aDeclaredCeiling-3.md	OPEN	born-in-spec-commit	8aa4a261051ed5d64dde73a0b805522025d6ab3c	no	0.370
TOOL-aDrainedSluice-1	memory/builds/aDrainedSluice/spec/2026-08-08-spec-aDrainedSluice-1.md	CLOSED	none	-	yes	0.091
TOOL-aFoldedQuarry-3	memory/builds/aFoldedQuarry/spec/units/2026-08-08-spec-aFoldedQuarry-3-u1-flatten.md	CLOSED	born-in-spec-commit	93dbbac007f17674b75e76a4acc894d1f0ffc50d	no	0.182
TOOL-aFoldedQuarry-4	memory/builds/aFoldedQuarry/spec/units/2026-08-08-spec-aFoldedQuarry-4-u2-build-index.md	CLOSED	none	-	yes	0.000
TOOL-aFoldedQuarry-5	memory/builds/aFoldedQuarry/spec/units/2026-08-08-spec-aFoldedQuarry-5-u3-corpus-ids.md	CLOSED	none	-	yes	0.000
TOOL-aFoldedQuarry-6	memory/builds/aFoldedQuarry/spec/units/2026-08-08-spec-aFoldedQuarry-6-u4-gotchas.md	CLOSED	none	-	yes	0.083
TOOL-aFoldedQuarry-7	memory/builds/aFoldedQuarry/spec/units/2026-08-08-spec-aFoldedQuarry-7-u5-harness.md	CLOSED	born-in-spec-commit	d8fcf2672def54c4344d3db3e693162f6827cdb9	no	0.200
TOOL-aGradedDoorway-7	memory/builds/aGradedDoorway/spec/2026-08-29-spec-TOOL-aGradedDoorway-7.md	INPROGRESS	specced-in-place	23730008abc21967e8050cfeac5a06850f0c1c60	no	0.366
TOOL-aMendedLedger-8	memory/builds/aMendedLedger/spec/units/2026-08-10-spec-aMendedLedger-8-u9-driver-redesign.md	CLOSED	none	-	no	0.200
TOOL-aMooredAnchor-1	memory/builds/aMooredAnchor/spec/2026-08-11-spec-aMooredAnchor-1.md	CLOSED	born-in-spec-commit	59b4710c56465ac08f6c7980b5b6e4aa9c969f52	no	0.261
TOOL-aMouldedFolio-3	memory/builds/aMouldedFolio/spec/2026-08-11-spec-TOOL-aMouldedFolio-3-generated-prose.md	CLOSED	none	-	no	0.294
TOOL-aMouldedFolio-4	memory/builds/aMouldedFolio/spec/2026-08-11-spec-TOOL-aMouldedFolio-4-marker-conformance.md	CLOSED	none	-	no	0.412
TOOL-aMouldedFolio-5	memory/builds/aMouldedFolio/spec/2026-08-11-spec-TOOL-aMouldedFolio-5-check20-gaps.md	CLOSED	none	-	no	0.500
TOOL-aNamedGesture-1	memory/builds/aNamedGesture/spec/2026-08-25-spec-TOOL-aNamedGesture-1.md	CLOSED	born-in-spec-commit	b90ef11f4595753fb3563473ac059c510ba08c44	no	0.291
TOOL-aNumeralWarden-1	memory/builds/aNumeralWarden/spec/2026-08-10-spec-aNumeralWarden-1.md	CLOSED	none	-	no	0.640
TOOL-aPacedTurnstile-14	memory/builds/aPacedTurnstile/spec/2026-08-20-spec-TOOL-aPacedTurnstile-14.md	CLOSED	none	-	no	0.138
