# **Serves:** journal TOOL-dDerivedDocket-11
# status worksheet · computed at e21fa86f4f129ca1a5000946d895ef6c646d9a0d · signed none · design-named none
id	legacy	predicted	class	decided_by
DEPL-aFerriedDossier-1	CLOSED	CLOSED	same	DEPL-dCarriedReceipt-13
DEPL-aFerriedDossier-2	OPEN	OPEN	same	-
DEPL-aFerriedDossier-3	OPEN	OPEN	same	-
DEPL-aHoistedPass-2	OPEN	OPEN	same	-
DEPL-aHoistedPass-3	WONTDO	WONTDO	same	aHoistedPass
DEPL-aHoistedPass-4	WONTDO	WONTDO	same	aHoistedPass
DEPL-aHoistedPass-5	OPEN	OPEN	same	-
DEPL-aHoistedPass-6	OPEN	OPEN	same	-
DEPL-aHoistedPass-7	OPEN	OPEN	same	-
DEPL-aHoistedPass-8	OPEN	OPEN	same	-
DEPL-aHoistedPass-9	OPEN	OPEN	same	-
DEPL-aHoistedPass-10	OPEN	OPEN	same	-
DEPL-aSealedCaravan-3	OPEN	OPEN	same	-
DEPL-aTetheredConvoy-8	CLOSED	CLOSED	same	TOOL-dClosedLexicon-13
DEPL-aTetheredConvoy-9	OPEN	OPEN	same	-
DEPL-dCarriedReceipt-1	CLOSED	CLOSED	mined-closure	d6384815707b6805d64b863e988a4cd47809530a
DEPL-dCarriedReceipt-2	CLOSED	CLOSED	mined-closure	d6384815707b6805d64b863e988a4cd47809530a
DEPL-dCarriedReceipt-3	CLOSED	CLOSED	mined-closure	d6384815707b6805d64b863e988a4cd47809530a
DEPL-dCarriedReceipt-4	CLOSED	CLOSED	mined-closure	d6384815707b6805d64b863e988a4cd47809530a
DEPL-dCarriedReceipt-5	CLOSED	CLOSED	mined-closure	d6384815707b6805d64b863e988a4cd47809530a
DEPL-dCarriedReceipt-6	CLOSED	CLOSED	mined-closure	d6384815707b6805d64b863e988a4cd47809530a
DEPL-dCarriedReceipt-7	CLOSED	CLOSED	mined-closure	d6384815707b6805d64b863e988a4cd47809530a
DEPL-dCarriedReceipt-8	CLOSED	CLOSED	mined-closure	d6384815707b6805d64b863e988a4cd47809530a
DEPL-dCarriedReceipt-9	CLOSED	CLOSED	mined-closure	d6384815707b6805d64b863e988a4cd47809530a
DEPL-dCarriedReceipt-10	CLOSED	CLOSED	mined-closure	d6384815707b6805d64b863e988a4cd47809530a
DEPL-dCarriedReceipt-11	CLOSED	CLOSED	mined-closure	d6384815707b6805d64b863e988a4cd47809530a
DEPL-dCarriedReceipt-12	CLOSED	CLOSED	mined-closure	d6384815707b6805d64b863e988a4cd47809530a
DEPL-dCarriedReceipt-13	CLOSED	CLOSED	same	DEPL-aFerriedDossier-1
DEPL-dCarriedReceipt-14	CLOSED	CLOSED	mined-closure	d6384815707b6805d64b863e988a4cd47809530a
DEPL-dCarriedReceipt-15	CLOSED	CLOSED	mined-closure	d6384815707b6805d64b863e988a4cd47809530a
DEPL-dCarriedReceipt-16	OPEN	OPEN	same	-
DEPL-dGaugedVintage-1	CLOSED	CLOSED	mined-closure	d6384815707b6805d64b863e988a4cd47809530a
DEPL-dGaugedVintage-2	CLOSED	CLOSED	same	DEPL-aFerriedDossier-1
DEPL-dGaugedVintage-3	CLOSED	CLOSED	mined-closure	d6384815707b6805d64b863e988a4cd47809530a
DEPL-dGaugedVintage-4	CLOSED	CLOSED	mined-closure	d6384815707b6805d64b863e988a4cd47809530a
DEPL-dGaugedVintage-5	CLOSED	CLOSED	mined-closure	d6384815707b6805d64b863e988a4cd47809530a
DEPL-dGaugedVintage-6	CLOSED	CLOSED	mined-closure	d6384815707b6805d64b863e988a4cd47809530a
DEPL-dGaugedVintage-7	CLOSED	CLOSED	mined-closure	d6384815707b6805d64b863e988a4cd47809530a
DEPL-dGaugedVintage-8	CLOSED	CLOSED	mined-closure	d6384815707b6805d64b863e988a4cd47809530a
DEPL-dGaugedVintage-9	CLOSED	CLOSED	mined-closure	d6384815707b6805d64b863e988a4cd47809530a
DEPL-dGaugedVintage-10	CLOSED	CLOSED	mined-closure	d6384815707b6805d64b863e988a4cd47809530a
DEPL-dGaugedVintage-11	CLOSED	CLOSED	mined-closure	d6384815707b6805d64b863e988a4cd47809530a
DEPL-dGaugedVintage-12	CLOSED	CLOSED	mined-closure	9ba3757d26326f044b612689b77f2159e42ae322
DEPL-dGaugedVintage-13	CLOSED	CLOSED	same	DEPL-dGaugedVintage-2
DEPL-dPolishedVitrine-1	OPEN	OPEN	same	-
DEPL-dPolishedVitrine-2	OPEN	OPEN	same	-
DEPL-dRatifiedSeam-2	OPEN	OPEN	same	-
DEPL-dRatifiedSeam-3	OPEN	OPEN	same	-
DEPL-dRatifiedSeam-4	OPEN	OPEN	same	-
DEPL-dRatifiedSeam-5	OPEN	OPEN	same	-
DEPL-dRatifiedSeam-6	OPEN	OPEN	same	-
DEPL-dRetiredFork-11	OPEN	OPEN	same	-
DEPL-dRetiredFork-12	OPEN	OPEN	same	-
DEPL-dSealedTally-6	OPEN	OPEN	same	-
DEPL-dSettledRoster-1	OPEN	OPEN	same	-
DEPL-dSettledRoster-2	OPEN	OPEN	same	-
KICK-aReplayedCard-4	OPEN	OPEN	same	-
KICK-aReplayedCard-5	OPEN	OPEN	same	-
KICK-cSettledDocket-1	OPEN	OPEN	same	-
PLAY-aCandidStub-1	CLOSED	CLOSED	mined-closure	c1d60f3934ff8ebfa0e350599d08b678bf03f18d
PLAY-aCandidStub-2	WONTDO	WONTDO	same	aCandidStub
PLAY-aDeclaredCeiling-1	CLOSED	CLOSED	mined-closure	5f8e4f32a64c02d12ef5696631208e38a1bd5a40
PLAY-aPrunedCeremony-5	WONTDO	WONTDO	same	aPrunedCeremony
PLAY-aSealedCaravan-1	CLOSED	CLOSED	same	PLAY-aSiftedPlaybook-4
PLAY-dClosedLexicon-1	BLOCKED	BLOCKED	same	TRIAGE-ASK
TOOL-aBatchedLintel-2	CLOSED	CLOSED	same	TOOL-aDrainedSluice-4
TOOL-aBatchedTribunal-2	CLOSED	CLOSED	same	TOOL-aBatchedTribunal-6
TOOL-aBatchedTribunal-3	CLOSED	CLOSED	same	TOOL-aBatchedTribunal-6
TOOL-aBatchedTribunal-4	CLOSED	CLOSED	same	TOOL-aBatchedTribunal-6
TOOL-aBatchedTribunal-5	CLOSED	CLOSED	same	TOOL-aBatchedTribunal-6
TOOL-aBatchedTribunal-7	CLOSED	CLOSED	same	TOOL-aBatchedTribunal-8
TOOL-aBoundedCeiling-7	CLOSED	CLOSED	mined-closure	0c93b05e73aa773b2a8a4c5cc525e3aab1296085
TOOL-aBoundedCeiling-8	OPEN	OPEN	same	-
TOOL-aBoundedCeiling-9	OPEN	OPEN	same	-
TOOL-aBoundedCeiling-10	OPEN	OPEN	same	-
TOOL-aBoundedCeiling-11	OPEN	OPEN	same	-
TOOL-aBoundedCeiling-12	OPEN	OPEN	same	-
TOOL-aBoundedCeiling-13	OPEN	OPEN	same	-
TOOL-aBoundedVerdict-6	OPEN	OPEN	same	-
TOOL-aBoundedVerdict-7	OPEN	OPEN	same	-
TOOL-aBoundedVerdict-8	OPEN	OPEN	same	-
TOOL-aBoundedVerdict-9	CLOSED	CLOSED	same	TOOL-cTracedPromise-6
TOOL-aBoundedVerdict-10	OPEN	OPEN	same	-
TOOL-aBoundedVerdict-20	OPEN	OPEN	same	-
TOOL-aBoundedVerdict-22	OPEN	OPEN	same	-
TOOL-aBoundedVerdict-23	OPEN	OPEN	same	-
TOOL-aBoundedVerdict-24	CLOSED	CLOSED	mined-closure	93432dc147e8ded12c4730425f9922f1ff3f036d
TOOL-aBoundedVerdict-25	OPEN	OPEN	same	-
TOOL-aBoundedVerdict-26	OPEN	OPEN	same	-
TOOL-aBoundedVerdict-27	OPEN	OPEN	same	-
TOOL-aBoundedVerdict-28	OPEN	OPEN	same	-
TOOL-aBoundedVerdict-29	OPEN	OPEN	same	-
TOOL-aBoundedVerdict-30	CLOSED	CLOSED	mined-closure	e6644986607bf05c5830587b29cf05ba9566cdf7
TOOL-aBoundedVerdict-31	OPEN	OPEN	same	-
TOOL-aBoundedVerdict-32	OPEN	OPEN	same	-
TOOL-aBranchedMandate-1	CLOSED	CLOSED	mined-closure	a7567fd99e36b3807d4f1db0f3d8d9c2e9308e03
TOOL-aBranchedMandate-2	CLOSED	CLOSED	mined-closure	6e4c9265d373efd95303537f7433afc81e300c5e
TOOL-aBranchedMandate-3	CLOSED	CLOSED	mined-closure	6f705002cd4c21e7a2c7899cac3a0b4a3ce6a8da
TOOL-aBranchedMandate-4	CLOSED	CLOSED	mined-closure	ce517c93ef8cb575fa781aa8bc33a6f9fb34c094
TOOL-aBranchedMandate-5	OPEN	OPEN	same	-
TOOL-aBranchedMandate-6	CLOSED	CLOSED	same	TOOL-aTetheredScratch-2
TOOL-aBranchedMandate-8	OPEN	OPEN	same	-
TOOL-aBranchedMandate-9	OPEN	OPEN	same	-
TOOL-aBranchedMandate-10	OPEN	OPEN	same	-
TOOL-aBranchedMandate-11	OPEN	OPEN	same	-
TOOL-aBranchedMandate-12	CLOSED	CLOSED	mined-closure	254b831a7ba166f515d3528d1a4f495dbb1c64be
TOOL-aBranchedMandate-13	CLOSED	CLOSED	mined-closure	254b831a7ba166f515d3528d1a4f495dbb1c64be
TOOL-aCandidStub-1	OPEN	OPEN	same	-
TOOL-aCandidStub-2	OPEN	OPEN	same	-
TOOL-aCandidStub-3	CLOSED	CLOSED	same	TOOL-aMouldedFolio-2
TOOL-aCandidStub-4	CLOSED	CLOSED	same	TOOL-aCollapsedScan-7
TOOL-aCollapsedScan-4	CLOSED	CLOSED	same	TOOL-aCollapsedScan-1
TOOL-aCollapsedScan-5	OPEN	OPEN	same	-
TOOL-aCollapsedScan-6	WONTDO	WONTDO	same	aCollapsedScan
TOOL-aCollapsedScan-7	CLOSED	CLOSED	same	TOOL-aCollapsedScan-12
TOOL-aCollapsedScan-8	OPEN	OPEN	same	-
TOOL-aCollapsedScan-9	OPEN	OPEN	same	-
TOOL-aCollapsedScan-11	OPEN	OPEN	same	-
TOOL-aCollapsedScan-12	OPEN	OPEN	same	-
TOOL-aCollapsedScan-13	CLOSED	CLOSED	same	TOOL-aCollapsedScan-1
TOOL-aDeclaredBound-6	OPEN	OPEN	same	-
TOOL-aDeclaredCeiling-1	OPEN	OPEN	same	-
TOOL-aDeclaredCeiling-2	OPEN	OPEN	same	-
TOOL-aDeclaredCeiling-3	OPEN	OPEN	same	-
TOOL-aDeferredBar-4	OPEN	OPEN	same	-
TOOL-aDeferredBar-5	OPEN	OPEN	same	-
TOOL-aDeferredBar-6	OPEN	OPEN	same	-
TOOL-aDeferredBar-7	OPEN	OPEN	same	-
TOOL-aDeferredBar-8	OPEN	OPEN	same	-
TOOL-aDeferredBar-9	OPEN	OPEN	same	-
TOOL-aDeferredBar-10	OPEN	OPEN	same	-
TOOL-aDeferredBar-11	OPEN	OPEN	same	-
TOOL-aDeferredBar-12	OPEN	OPEN	same	-
TOOL-aDeferredBar-13	OPEN	OPEN	same	-
TOOL-aDeferredBar-14	OPEN	OPEN	same	-
TOOL-aDeferredBar-15	OPEN	OPEN	same	-
TOOL-aDeferredBar-16	OPEN	OPEN	same	-
TOOL-aDeferredBar-17	OPEN	OPEN	same	-
TOOL-aDeferredBar-18	OPEN	OPEN	same	-
TOOL-aDeferredBar-19	OPEN	OPEN	same	-
TOOL-aDeferredBar-20	OPEN	OPEN	same	-
TOOL-aDeferredBar-21	OPEN	OPEN	same	-
TOOL-aDeferredBar-22	OPEN	OPEN	same	-
TOOL-aDrainedSluice-1	CLOSED	CLOSED	same	TOOL-aDrainedSluice-3
