# **Serves:** journal TOOL-dDerivedDocket-11
# triage worksheet · computed at b8a773375bf26c48004a06c303d2968963370bc3 · signed none · design-named none
id	home	source	legacy	derived	proposal	evidence	basis	dead_pointer
DEPL-aHoistedPass-2	memory/builds/aHoistedPass/BACKLOG.md	memory/backlog/DEPL.md:51	OPEN	OPEN	none	-	none	no
DEPL-aHoistedPass-5	memory/builds/aHoistedPass/BACKLOG.md	memory/backlog/DEPL.md:54	OPEN	OPEN	none	-	none	no
DEPL-aHoistedPass-6	memory/builds/aHoistedPass/BACKLOG.md	memory/backlog/DEPL.md:55	OPEN	OPEN	none	-	none	no
DEPL-aHoistedPass-7	memory/builds/aHoistedPass/BACKLOG.md	memory/backlog/DEPL.md:56	OPEN	OPEN	none	-	none	no
DEPL-aHoistedPass-8	memory/builds/aHoistedPass/BACKLOG.md	memory/backlog/DEPL.md:57	OPEN	OPEN	none	-	none	no
DEPL-aHoistedPass-9	memory/builds/aHoistedPass/BACKLOG.md	memory/backlog/DEPL.md:58	OPEN	OPEN	none	-	none	no
DEPL-aHoistedPass-10	memory/builds/aHoistedPass/BACKLOG.md	memory/backlog/DEPL.md:59	OPEN	OPEN	none	-	none	no
DEPL-aSealedCaravan-3	memory/builds/aSealedCaravan/BACKLOG.md	memory/backlog/DEPL.md:6	OPEN	OPEN	CLOSED	a21146185719c131350616389f724a0a137a8994	commit-names-ask	no
DEPL-aTetheredConvoy-9	memory/builds/aTetheredConvoy/BACKLOG.md	memory/backlog/DEPL.md:42	OPEN	OPEN	none	-	none	yes
DEPL-dCarriedReceipt-16	memory/builds/dCarriedReceipt/BACKLOG.md	memory/backlog/DEPL.md:25	OPEN	OPEN	none	-	none	yes
DEPL-dRatifiedSeam-2	memory/builds/dRatifiedSeam/BACKLOG.md	memory/backlog/DEPL.md:45	OPEN	OPEN	none	-	none	yes
DEPL-dRatifiedSeam-3	memory/builds/dRatifiedSeam/BACKLOG.md	memory/backlog/DEPL.md:46	OPEN	OPEN	none	-	none	yes
DEPL-dRatifiedSeam-4	memory/builds/dRatifiedSeam/BACKLOG.md	memory/backlog/DEPL.md:47	OPEN	OPEN	none	-	none	yes
DEPL-dRatifiedSeam-5	memory/builds/dRatifiedSeam/BACKLOG.md	memory/backlog/DEPL.md:48	OPEN	OPEN	none	-	none	yes
DEPL-dRatifiedSeam-6	memory/builds/dRatifiedSeam/BACKLOG.md	memory/backlog/DEPL.md:49	OPEN	OPEN	none	-	none	yes
DEPL-dSealedTally-6	memory/builds/dSealedTally/BACKLOG.md	memory/backlog/DEPL.md:50	OPEN	OPEN	none	-	none	yes
DEPL-dSettledRoster-1	memory/builds/dSettledRoster/BACKLOG.md	memory/backlog/DEPL.md:4	OPEN	OPEN	CLOSED	cb5c7901fad3b9598c2ffef7636a89d8b65a4d2d	commit-names-ask	no
DEPL-dSettledRoster-2	memory/builds/dSettledRoster/BACKLOG.md	memory/backlog/DEPL.md:5	OPEN	OPEN	none	-	none	no
KICK-aReplayedCard-4	memory/builds/aReplayedCard/BACKLOG.md	memory/backlog/KICK.md:5	OPEN	OPEN	none	-	none	yes
KICK-aReplayedCard-5	memory/builds/aReplayedCard/BACKLOG.md	memory/backlog/KICK.md:6	OPEN	OPEN	none	-	none	yes
KICK-cSettledDocket-1	memory/builds/cSettledDocket/BACKLOG.md	memory/backlog/KICK.md:4	OPEN	OPEN	none	-	none	no
